target,action,reward
0,(0.13; 0),[0.01325174 5.2063923 ],-0.2642252137432635
0,(0; -0.13),[0.20655753 4.3932424 ],-0.9181407810497935
0,(0.13; 0),[0.17741878 6.0435686 ],-0.7871487772704903
0,(0; 0.13),[0.16983278 4.257659  ],0.41495205300460336
0,(0.13; 0),[0.06289249 4.390868  ],-0.23778676319508538
0,(0; 0.13),[0.07477438 3.4193437 ],-0.2352272204433793
0,(0.13; 0),[0.19353536 2.296673  ],0.0024923755976372403
0,(0; -0.13),[0.07477195 3.9601753 ],-0.3525269072101379
0,(0.13; 0),[0.15574409 2.4753437 ],0.14571792454892338
0,(0; 0.13),[0.1568587 5.5397673],0.029018438049589878
0,(0; 0.13),[0.12515542 0.15003744],-0.3644158652626076
0,(0.13; 0),[0.07068651 2.5175655 ],-0.17014641530817814
0,(0.13; 0),[0.03753631 2.663454  ],-0.23418299615853863
0,(0; -0.13),[0.20410933 4.251001  ],-0.8925517264340858
0,(0.13; 0),[0.06633057 4.2462    ],-0.22144854136717435
0,(0; 0.13),[0.10950486 3.1402638 ],-0.2972258044441883
0,(0; 0.13),[0.07210542 0.        ],-0.2690402434549641
0,(0.13; 0),[0.02655665 2.2187145 ],-0.25290762952180956
0,(0.13; 0),[0.1961896 5.0712643],-0.6873519242548047
0,(0; -0.13),[0.14547321 5.0446806 ],-0.6368617552290102
0,(0; 0.13),[0.21238917 1.7756184 ],-0.9532014501055975
0,(0; 0.13),[0.08253942 4.46524   ],-0.1039630079031077
0,(0; -0.13),[0.1575619 2.2665546],0.12958221127819766
0,(0.13; 0),[0.01154818 2.7542999 ],-0.25960753522159374
0,(0; 0.13),[0.07833686 0.7736235 ],-0.3576570568361143
0,(0; -0.13),[0.16924296 5.8580985 ],-0.5923598084836018
0,(0; -0.13),[0.11619917 1.3782499 ],0.08460381883994678
0,(0.13; 0),[0.01600307 3.9795754 ],-0.2585457323863404
0,(0.13; 0),[0.15679075 1.3280125 ],-0.48601434528084464
0,(0.13; 0),[0.1539546 2.4229238],0.1007694348166199
0,(0.13; 0),[0.17400004 2.5876145 ],0.327295497786595
0,(0; 0.13),[0.03643814 2.8846962 ],-0.27026250383005573
0,(0; 0.13),[0.19457795 6.070014  ],-0.41446724173878685
0,(0; -0.13),[0.17772883 6.2831855 ],-0.46380960221795403
0,(0; -0.13),[0.18930517 3.7455902 ],-0.7296843771114851
0,(0.13; 0),[0.02887694 0.816204  ],-0.275110536472195
0,(0.13; 0),[0.09628971 4.783938  ],-0.29727017861717847
0,(0; 0.13),[0.05243199 4.7133775 ],-0.19910194454213198
0,(0.13; 0),[0.18999979 2.0327659 ],-0.22630804923667747
0,(0.13; 0),[0.08965981 0.74173594],-0.3921868391244788
0,(0.13; 0),[0.19566615 3.4295955 ],0.9321405739747678
0,(0; 0.13),[0.20116128 0.        ],-0.5601980776530048
0,(0; 0.13),[0.21607783 3.204159  ],-0.5972454760232905
0,(0.13; 0),[0.12613212 4.1366696 ],-0.1115165966783775
0,(0.13; 0),[0.02917442 3.8979652 ],-0.2485507047247591
0,(0; -0.13),[0.09624879 2.3890996 ],-0.1253438859911048
0,(0; -0.13),[0.03832191 4.0783396 ],-0.2885836262035985
0,(0.13; 0),[0.10372397 5.573723  ],-0.4382556555413302
0,(0.13; 0),[0.08341071 2.8385613 ],-0.10358323275797882
0,(0; 0.13),[0.06286344 2.8645494 ],-0.28959437105239916
0,(0; -0.13),[0.1505454 5.364139 ],-0.6234748522344468
0,(0; 0.13),[0.09927928 1.8333664 ],-0.45595309854707927
0,(0.13; 0),[0.20677382 2.1583474 ],-0.18227549398319992
0,(0; 0.13),[0.1355747 0.9069325],-0.5600302064879662
0,(0; 0.13),[0.01841466 2.8888006 ],-0.2642804033720434
0,(0; 0.13),[0.01885875 3.8588164 ],-0.257155845298674
0,(0; 0.13),[0.04410421 4.930466  ],-0.2191409242168944
0,(0; -0.13),[5.120550e-03 5.942571e+00],-0.26255972019256735
0,(0.13; 0),[0.15341131 4.212849  ],-0.133389926924596
0,(0.13; 0),[0.18373318 2.5849764 ],0.35936141133903987
0,(0; 0.13),[0.17106721 5.503978  ],0.07557832029492455
0,(0.13; 0),[0.07168807 4.557324  ],-0.2511057424685643
0,(0.13; 0),[0.1845122 4.3053594],-0.24983472982171712
0,(0; 0.13),[0.0951295 1.5466275],-0.44614281527728744
0,(0; 0.13),[0.19564591 4.3153105 ],0.6721650596595646
0,(0; -0.13),[0.14399382 5.5266094 ],-0.5695585782495424
0,(0; -0.13),[0.02957293 0.9898045 ],-0.24598712657176983
0,(0.13; 0),[0.14190228 3.0458272 ],0.3269626363768509
0,(0; 0.13),[0.11992218 4.018831  ],-0.014916938930415595
0,(0; -0.13),[0.13400039 1.8947412 ],0.19432566035443818
